dec,bin,gray,contiguity,score
0,0,0,False,1.0
1,1,1,True,0.7012721385753833
2,10,11,True,0.5030553241916493
3,11,10,True,0.7588899668028135
4,100,110,True,0.5633530514064018
5,101,111,True,0.3075184087952377
6,110,101,False,1.0
7,111,100,True,0.7615698657901359
8,1000,1100,True,0.6783972865050248
9,1001,1101,False,1.0
10,1010,1111,True,0.22434582951012674
11,1011,1110,True,0.4801804721212909
12,1100,1010,False,1.0
13,1101,1011,False,1.0
14,1110,1001,False,1.0
15,1111,1000,True,0.8739342019014366
16,10000,11000,True,0.798418476865818
17,10001,11001,False,1.0
18,10010,11011,False,1.0
19,10011,11010,False,1.0
20,10100,11110,True,0.4046647470856723
21,10101,11111,True,0.14883010447450812
22,10110,11101,False,1.0
23,10111,11100,True,0.6028815614694063
24,11000,10100,False,1.0
25,11001,10101,False,1.0
26,11010,10111,False,1.0
27,11011,10110,False,1.0
28,11100,10010,False,1.0
29,11101,10011,False,1.0
30,11110,10001,False,1.0
31,11111,10000,True,0.8815910561509289
32,100000,110000,True,0.8092337834932259
33,100001,110001,False,1.0
34,100010,110011,False,1.0
35,100011,110010,False,1.0
36,100100,110110,True,0.4154800537130803
37,100101,110111,True,0.15964541110191613
38,100110,110101,False,1.0
39,100111,110100,True,0.6136968680968142
40,101000,111100,True,0.5305242888117033
41,101001,111101,False,1.0
42,101010,111111,True,0.07647283181680514
43,101011,111110,True,0.33230747442796926
44,101100,111010,False,1.0
45,101101,111011,False,1.0
46,101110,111001,False,1.0
47,101111,111000,True,0.7260612042081149
48,110000,101000,False,1.0
49,110001,101001,False,1.0
50,110010,101011,False,1.0
51,110011,101010,False,1.0
52,110100,101110,True,0.40782319946358786
53,110101,101111,True,0.15198855685242374
54,110110,101101,False,1.0
55,110111,101100,True,0.6060400138473219
56,111000,100100,True,0.6892125931324329
57,111001,100101,False,1.0
58,111010,100111,True,0.23516113613753473
59,111011,100110,True,0.49099577874869893
60,111100,100010,False,1.0
61,111101,100011,False,1.0
62,111110,100001,False,1.0
63,111111,100000,True,0.8847495085288445
64,1000000,1100000,True,0.8331614530228897
